Layer,Name,GEOID,Population,CZA_2023,CZB_2023,CZD_2023,CZH_2023,CZL_2023,CZM_2023,CZO_2023,CZP_2023,CZR_2023,CZS_2023,CZT_2023,CZU_2012-2016,CZV_2023,SVI_2022,CAR_2018-2022,CHAOVXP_2018-2022,EKR_2022,EKW_2022,EVC_2018,EVF_2018,EVR_2018,HTJ_2018-2022,HUO_2018-2022,RBS_2018-2022,RBU_2018-2022,TRF_2020,TRV_2018-2022,VAC_2018-2022,CHAIXYP_2023,PMC_2020,FAI_2022,LFA_2019,WWW_2018-2022
,,,,"Aggravated assault/battery (crimes), 2023","Burglary (crimes), 2023","Drug abuse (crimes), 2023","Homicide (crimes), 2023","Larceny (theft) (crimes), 2023","Major crime (crimes), 2023","Arson (crimes), 2023","Property crime (crimes), 2023","Robbery (crimes), 2023","Criminal sexual assault (crimes), 2023","Motor vehicle theft (crimes), 2023","Public crime (crimes), 2012-2016","Violent crime (crimes), 2023","Social Vulnerability Index (percentile), 2022","Drive alone to work (% of workers 16 years and older), 2018-2022","Households (count of households), 2018-2022","Proximity to roads, railways, and airports index, 2022","Walkability Index, 2022","Evictions (evictions), 2018","Eviction filing rate (filings per 100 renter-occupied households), 2018","Eviction rate (% of renter-occupied households), 2018","Crowded housing (% of occupied housing units), 2018-2022","Owner occupied (% of occupied housing units), 2018-2022","Severely rent-burdened (% of renter-occupied housing units), 2018-2022","Rent-burdened (% of renter-occupied housing units), 2018-2022","Traffic intensity (distance-weighted vehicles), 2020","Mean travel time to work (minutes), 2018-2022","Vacant (% of housing units), 2018-2022","Chicago Environmental Justice Index (score), 2023","Particulate matter (PM 2.5) concentration (µg/m3), 2020","Food insecurity (% of residents), 2022","Low food access (% of residents), 2019","Internet access (% of households), 2018-2022"
Census tract,Tract 5602,17031560200,1710,7.0,4.0,5.0,2.0,21.0,54.0,0.0,41.0,4.0,0.0,16.0,27.0,13.0,84.69,66.96230598669624,542.0,99.0,13.22,2.0,2.94,1.9600000000000002,3.505535055350553,84.68634686346863,8.433734939759036,73.49397590361446,530.6304115320468,38.2,5.078809106830122,98.74,9.531837432,12.2,100.0,84.50184501845018
Census tract,Tract 5603,17031560300,3253,7.0,4.0,2.0,0.0,20.0,58.0,0.0,47.0,4.0,0.0,23.0,8.0,11.0,74.22,54.44104134762634,1081.0,99.0,15.0,0.0,1.77,0.0,1.2950971322849214,92.7844588344126,33.33333333333333,51.28205128205128,273.1800313186597,37.6,1.5482695810564664,82.05,9.550454098,14.9,96.08,75.11563367252543
Census tract,Tract 5604,17031560400,1630,6.0,5.0,1.0,0.0,22.0,55.0,0.0,40.0,9.0,0.0,13.0,17.0,15.0,76.62,52.68817204301075,489.0,98.0,16.67,,,,4.08997955010225,89.57055214723927,100.0,100.0,465.4980406,29.5,0.0,79.77,9.549404918,13.3,41.35,82.0040899795501
Census tract,Tract 5607,17031560700,3635,3.0,14.0,2.0,0.0,48.0,95.0,1.0,86.0,3.0,3.0,23.0,14.0,9.0,78.63,66.5911664779162,1289.0,97.0,16.33,2.0,0.67,0.45,4.111714507370055,66.87354538401861,18.0327868852459,20.37470725995316,373.2267069843192,35.3,3.445692883895131,83.19,9.581424043715852,12.7,0.0,90.53529868114818
Census tract,Tract 5608,17031560800,5682,10.0,9.0,1.0,0.0,54.0,104.0,0.0,90.0,4.0,0.0,27.0,15.0,14.0,39.4,62.26675881133379,1932.0,99.0,15.569999999999999,0.0,1.07,0.0,1.0351966873706004,80.79710144927536,8.086253369272237,26.1455525606469,294.6394052483456,32.8,5.525672371638142,82.68,9.579862568306012,6.800000000000001,19.72,86.3871635610766
Census tract,Tract 5609,17031560900,5112,4.0,5.0,0.0,2.0,45.0,75.0,0.0,68.0,1.0,0.0,18.0,14.0,7.0,32.86,76.41287284144427,1849.0,78.0,14.72,0.0,3.53,0.0,1.946998377501352,93.40183883180096,9.01639344262295,52.459016393442624,488.6800773904733,35.4,4.246504401864319,57.27,9.596558743,8.9,49.02,91.34667387777176
Census tract,Tract 5610,17031561000,5308,6.0,6.0,1.0,0.0,49.0,85.0,0.0,77.0,1.0,1.0,22.0,5.0,8.0,30.4,85.76302729528535,2276.0,77.0,14.17,2.0,2.79,0.7,3.8224956063268896,82.68892794376099,5.32994923857868,24.873096446700508,234.68227710747925,31.9,2.4850042844901457,47.91,9.604039891,9.2,56.59,88.31282952548331
Census tract,Tract 5611,17031561100,5581,7.0,4.0,2.0,0.0,45.0,81.0,1.0,73.0,0.0,1.0,23.0,5.0,8.0,19.51,78.9438277833838,2276.0,95.0,12.86,1.0,2.55,0.64,0.0,93.89279437609842,43.884892086330936,54.67625899280576,209.6262597752392,30.4,2.3595023595023594,41.97,9.611836065573772,5.9,48.13,90.6854130052724
Census tract,Tract 5701,17031570100,1316,13.0,4.0,0.0,1.0,133.0,185.0,1.0,146.0,25.0,0.0,8.0,10.0,39.0,76.38000000000001,65.57659208261619,455.0,73.0,13.5,0.0,2.46,0.0,1.5384615384615383,78.24175824175825,18.181818181818183,54.54545454545454,382.4881036,32.7,2.1505376344086025,86.47,9.488705191,20.5,0.0,86.81318681318682
Census tract,Tract 5702,17031570200,2096,5.0,3.0,1.0,0.0,17.0,38.0,0.0,32.0,1.0,0.0,12.0,15.0,6.0,60.260000000000005,56.69724770642202,806.0,99.0,14.33,1.0,2.3,1.15,4.3424317617866,59.92555831265509,17.647058823529413,85.44891640866872,248.9632097,32.6,1.707317073170732,76.61,9.515682787,,0.0,82.75434243176178
Census tract,Tract 5703,17031570300,6376,32.0,13.0,1.0,1.0,51.0,162.0,0.0,104.0,23.0,2.0,40.0,59.0,58.0,77.08,57.29653882132835,1814.0,96.0,14.46,3.0,1.29,0.48,18.90848952590959,73.0981256890849,11.475409836065571,62.704918032786885,208.7956620442284,34.2,10.198019801980198,88.5,9.535547540983607,15.7,0.0,68.41234840132304
Census tract,Tract 5704,17031570400,1769,11.0,6.0,3.0,0.0,21.0,70.0,2.0,50.0,7.0,2.0,21.0,28.0,20.0,86.32,48.56815578465063,600.0,90.0,15.25,1.0,1.45,0.36,8.166666666666666,55.833333333333336,35.471698113207545,50.18867924528302,403.9738206585641,33.1,3.6918138041733553,77.37,9.519421584699447,13.1,2.53,76.16666666666667
Census tract,Tract 5705,17031570500,2639,7.0,6.0,1.0,1.0,22.0,62.0,1.0,52.0,2.0,0.0,23.0,23.0,10.0,54.28,69.92316136114161,775.0,92.0,14.83,1.0,2.56,0.28,13.548387096774196,62.45161290322581,2.405498281786942,52.23367697594502,159.13495043001137,32.0,8.284023668639055,59.92,9.556993443,16.8,0.0,80.0
Census tract,Tract 5801,17031580100,3228,14.0,6.0,1.0,1.0,14.0,59.0,1.0,35.0,8.0,1.0,14.0,34.0,24.0,80.02,42.58188824662813,946.0,78.0,16.25,4.0,2.49,1.0,3.5940803382663846,60.78224101479916,15.902964959568733,44.74393530997305,362.7332718198575,34.0,10.501419110690634,89.38,9.423559562841533,20.9,27.14,91.01479915433404
Census tract,Tract 5802,17031580200,3466,14.0,2.0,1.0,0.0,21.0,67.0,0.0,42.0,10.0,1.0,19.0,52.0,25.0,81.93,60.7074569789675,856.0,78.0,13.92,4.0,2.47,0.9,1.9859813084112148,44.62616822429906,46.20253164556962,64.34599156118144,513.2790060412002,34.0,12.563840653728295,94.82,9.435209563,17.9,15.69,85.2803738317757
Census tract,Tract 5803,17031580300,2577,6.0,2.0,1.0,0.0,4.0,27.0,0.0,16.0,4.0,1.0,10.0,17.0,11.0,71.52,50.98374679213003,790.0,78.0,14.83,2.0,2.91,0.53,3.037974683544304,59.62025316455696,20.689655172413797,57.05329153605015,633.5568834,29.5,0.8782936010037641,83.69,9.458871585,12.8,0.1,92.15189873417722
Census tract,Tract 5804,17031580400,4546,24.0,6.0,1.0,1.0,71.0,179.0,2.0,130.0,23.0,1.0,51.0,50.0,49.0,70.13000000000001,58.22275834338561,1482.0,67.0,16.67,5.0,2.46,0.68,8.16464237516869,53.50877192982456,11.46589259796807,42.23512336719884,279.44289936025075,29.1,5.121638924455826,85.59,9.481783607,12.6,13.17,89.94601889338732
Census tract,Tract 5805.01,17031580501,5170,11.0,3.0,2.0,4.0,30.0,79.0,1.0,55.0,8.0,1.0,21.0,78.0,24.0,92.29,51.4689880304679,1594.0,78.0,14.88,7.0,2.44,0.74,7.214554579673776,39.39774153074028,21.842650103519667,49.17184265010352,221.91949866121848,31.9,7.861271676300578,71.68,9.458387978,18.3,0.0,75.21957340025094
Census tract,Tract 5805.02,17031580502,5345,15.0,9.0,0.0,0.0,32.0,93.0,0.0,60.0,14.0,4.0,19.0,34.0,33.0,82.8,61.42086330935251,1487.0,59.0,14.39,7.0,1.67,0.84,8.742434431741762,44.9226630800269,20.634920634920636,43.46764346764347,143.21226692687182,28.3,4.249839021249195,70.8,9.47248224,17.0,0.0,76.5299260255548
Census tract,Tract 5806,17031580600,5405,21.0,5.0,0.0,1.0,41.0,107.0,1.0,66.0,18.0,1.0,19.0,50.0,41.0,91.68,63.26809285389167,1676.0,62.0,13.33,4.0,1.99,0.53,10.560859188544152,58.71121718377088,22.254335260115607,46.82080924855491,103.34162143448286,34.0,5.470953186689227,66.88,9.456438525,16.900000000000002,12.6,82.93556085918854
Census tract,Tract 5807,17031580700,5621,13.0,14.0,1.0,0.0,25.0,88.0,1.0,59.0,15.0,1.0,19.0,49.0,29.0,80.96,60.71090047393365,1669.0,58.0,13.28,2.0,1.5,0.33,14.020371479928102,47.81306171360096,19.97703788748565,27.210103329506317,146.65676604290695,31.9,9.686147186147185,85.84,9.446698361,24.9,23.9,88.61593768723786
Census tract,Tract 5808,17031580800,2058,7.0,2.0,0.0,0.0,21.0,52.0,0.0,32.0,12.0,1.0,9.0,23.0,20.0,65.56,72.92490118577075,558.0,37.0,16.0,2.0,1.96,0.56,15.591397849462366,52.50896057347671,9.056603773584904,30.56603773584905,291.04982,31.8,6.375838926174497,72.44,9.466213661,12.7,91.11,91.75627240143368
